IdEstado,NoEstado,SgUF,DeRegiao
28,Acre,AC,Norte
29,Alagoas,AL,Nordeste
30,Amapá,AP,Norte
31,Amazonas,AM,Norte
32,Bahia,BA,Nordeste
33,Ceará,CE,Nordeste
34,"Distrito Federal",DF,Centro-oeste
35,"Espírito Santo",ES,Sudeste
36,Goiás,GO,Centro-oeste
37,Maranhão,MA,Nordeste
38,"Mato Grosso",MT,Centro-oeste
39,"Mato Grosso do Sul",MS,Centro-oeste
40,"Minas Gerais",MG,Sudeste
41,Pará,PA,Norte
42,Paraíba,PB,Nordeste
43,Paraná,PR,Sul
44,Pernambuco,PE,Nordeste
45,Piauí,PI,Nordeste
46,"Rio de Janeiro",RJ,Sudeste
47,"Rio Grande do Norte",RN,Nordeste
48,"Rio Grande do Sul",RS,Sul
49,Rondônia,RO,Norte
50,Roraima,RR,Norte
51,"Santa Catarina",SC,Sul
52,"São Paulo",SP,Sudeste
53,Sergipe,SE,Nordeste
54,Tocantins,TO,Norte
