QtdCasosNovos,QtdSentencas,QtdProcessosBaixados,IdEstado,IdTribunal,IdTempo
5,3,3,28,29,2016
8,10,6,28,29,2017
13,15,6,28,29,2018
14,20,13,28,29,2019
15,32,10,28,29,2020
8,27,13,28,29,2021
0,0,0,29,30,2016
2,2,0,29,30,2017
13,2,2,29,30,2018
7,10,6,29,30,2019
1,12,12,29,30,2020
7,12,8,29,30,2021
0,1,3,30,31,2016
1,2,5,30,31,2017
5,2,1,30,31,2018
19,21,8,30,31,2019
29,13,12,30,31,2020
19,27,11,30,31,2021
94,44,114,31,32,2016
22,11,6,31,32,2017
11,8,9,31,32,2018
17,24,31,31,32,2019
14,18,21,31,32,2020
54,59,24,31,32,2021
3,1,1,32,33,2016
10,0,0,32,33,2017
21,1,2,32,33,2018
47,12,5,32,33,2019
48,7,8,32,33,2020
101,36,13,32,33,2021
12,4,11,33,34,2016
46,17,16,33,34,2017
70,54,25,33,34,2018
84,76,44,33,34,2019
69,69,38,33,34,2020
85,93,37,33,34,2021
64,50,53,34,35,2016
78,88,47,34,35,2017
92,130,50,34,35,2018
77,96,77,34,35,2019
29,23,44,34,35,2020
48,56,51,34,35,2021
59,7,4,35,36,2016
20,23,31,35,36,2017
37,19,10,35,36,2018
36,62,51,35,36,2019
37,24,42,35,36,2020
39,42,65,35,36,2021
106,124,87,36,37,2016
78,85,14,36,37,2017
66,119,25,36,37,2018
67,118,36,36,37,2019
60,111,46,36,37,2020
35,28,34,36,37,2021
10,1,0,37,38,2016
12,7,0,37,38,2017
22,5,5,37,38,2018
25,14,7,37,38,2019
22,3,4,37,38,2020
45,45,33,37,38,2021
29,19,37,38,39,2016
83,52,106,38,39,2017
108,60,63,38,39,2018
110,78,109,38,39,2019
42,31,51,38,39,2020
54,70,96,38,39,2021
16,5,0,39,40,2016
55,20,17,39,40,2017
72,65,42,39,40,2018
96,89,49,39,40,2019
67,62,70,39,40,2020
98,81,65,39,40,2021
378,856,511,40,41,2016
76,11,9,40,41,2017
156,40,22,40,41,2018
91,119,136,40,41,2019
57,111,94,40,41,2020
40,150,122,40,41,2021
29,6,4,41,42,2016
44,10,11,41,42,2017
22,30,18,41,42,2018
27,65,22,41,42,2019
19,18,28,41,42,2020
111,56,38,41,42,2021
18,16,14,42,43,2016
22,2,5,42,43,2017
38,14,4,42,43,2018
33,23,26,42,43,2019
21,16,116,42,43,2020
4,6,396,42,43,2021
9,7,6,43,44,2016
